ID_Ocorrencia,Data_Hora,Tipo_Desordem,Local_Desordem,Latitude,Longitude,Periodo_Dia,Nivel_Severidade,Status_Ocorrencia,Observacoes,Risco_Previsao
b38043bb-3b15-48dc-a229-fdf2a8207bfa,2025-05-19 13:33:50,Lixo Acumulado,Parque Urbano,-23.90911765141491,-46.17708578205694,Tarde,Alta,Em Análise,Odio eveniet et maiores quos voluptatum.,0
1996582d-763b-4782-a4b3-e65102e55b02,2024-06-28 21:11:55,Vandalismo,Bairro Residencial A,-23.646105432683125,-46.758377636032954,Madrugada,Crítica,Em Análise,Delectus nihil perspiciatis consequatur adipisci.,1
18a754e2-d64b-4bb6-b0bb-e8102e120e8a,2025-05-26 13:31:58,Outros,Parque Urbano,-23.841848673202037,-46.74308999564414,Madrugada,Crítica,Cancelada,Vel voluptates occaecati architecto quia fugit.,0
a5f492a9-247a-418d-aefd-7925280ac98e,2024-06-23 15:07:53,Vandalismo,Parque Urbano,-23.387775498229193,-46.12818301053776,Madrugada,Crítica,Reportada,Saepe magni soluta explicabo vero ipsum eos quidem.,0
d69ad781-dc23-4e61-b607-0bbd85696d5d,2025-06-01 18:24:44,Lixo Acumulado,Bairro Residencial A,-23.3297148622897,-46.34661092539558,Noite,Crítica,Reportada,Beatae neque neque amet nobis voluptates sunt non.,0
1bd33ccd-0634-4d11-b8b7-899151b7e9b8,2025-05-20 08:20:51,Pichação,Parque Urbano,-23.360517735680556,-46.988202059934316,Madrugada,Alta,Cancelada,Dignissimos dignissimos consequatur natus officiis impedit.,0
024f5920-cc32-439a-b27e-25c1dca3acfb,2024-10-25 05:20:20,Lixo Acumulado,Bairro Residencial B,-23.48760305880714,-46.304929119140866,Tarde,Baixa,Reportada,Animi sequi consequatur.,0
63afaa17-e65a-444a-948d-bfeecba34efd,2025-04-27 16:53:49,Pichação,Parque Urbano,-23.83721961358906,-46.603821947864745,Tarde,Média,Em Análise,Labore fugit nam cumque nemo amet.,0
671f2744-3b56-4c3c-883d-664ecec6016a,2024-09-03 00:57:51,Pichação,Bairro Residencial A,-23.197817238662513,-46.11394561355921,Noite,Alta,Cancelada,Quisquam molestiae dolorem sequi nostrum nostrum quisquam deleniti.,0
c820c0b5-1cb9-48c1-9ae1-69c3d975d3b7,2025-04-22 02:20:43,Outros,Parque Urbano,-23.586860972120594,-46.48854208616596,Manhã,Média,Resolvida,Saepe facere assumenda.,0
0f538979-d1c2-46ac-a1be-371d97ed1474,2024-07-09 05:13:44,Lixo Acumulado,Estação de Metrô,-23.371004006775753,-46.875397924941595,Tarde,Alta,Resolvida,Hic quidem eos dolor.,0
7cd8934d-f81e-4719-ab6d-278ef04d776d,2024-11-21 02:42:01,Vandalismo,Bairro Residencial B,-23.15184958543844,-46.72716095893645,Noite,Alta,Em Análise,Quae similique nulla quis repudiandae repellendus ducimus.,1
bfd2bd0a-2044-4baf-aac6-8fe9860576b6,2025-02-04 05:28:31,Vandalismo,Praça Central,-23.418478816639634,-46.740702649124614,Madrugada,Média,Em Análise,Perferendis hic doloribus ad.,0
ee5653a6-402d-48c9-a07f-70abfabcd4a6,2024-08-10 06:20:31,Vandalismo,Área Comercial,-23.836893623694962,-46.97725298549272,Madrugada,Baixa,Resolvida,Nemo corporis nobis omnis quasi.,0
12918005-d925-4680-97a1-92b8bbdbce75,2025-01-09 06:42:07,Vandalismo,Bairro Residencial B,-23.762432036766988,-46.82447301527956,Madrugada,Crítica,Cancelada,Quos ullam voluptatum quia optio eligendi.,1
cc4cb98c-2239-4276-814f-e2e1b5ed5bab,2025-04-30 19:05:09,Vandalismo,Parque Urbano,-23.26680413831949,-46.617520851037995,Madrugada,Crítica,Em Análise,Eos nam rerum doloremque maxime accusantium.,0
e7815ebf-0db3-415c-ad74-4c5b7d22f184,2025-02-06 03:16:29,Lixo Acumulado,Praça Central,-23.89160331609298,-46.66720377917269,Noite,Crítica,Reportada,Nobis corporis animi exercitationem.,0
2e7b298c-38fb-411e-8b85-b7f7a3537a8f,2025-06-13 04:11:08,Aglomeração Suspeita,Bairro Residencial A,-23.68961956498478,-46.68560281419074,Madrugada,Baixa,Cancelada,Cum fugit harum.,0
f1c65bbb-6ee3-4958-aceb-7a078e809014,2025-04-12 00:11:32,Pichação,Estação de Metrô,-23.250828898145357,-46.421010989781266,Tarde,Crítica,Cancelada,Rerum aperiam illum neque vitae accusantium rem.,0
46c67d69-af81-41b8-b08d-6b4b8b854c60,2025-06-17 10:58:12,Lixo Acumulado,Parque Urbano,-23.632895765653203,-46.11395046423016,Tarde,Crítica,Cancelada,Unde iste cupiditate incidunt repudiandae officia sunt odio.,0
59466973-0802-4497-9ca5-131038a8455f,2024-09-15 12:54:23,Outros,Estação de Metrô,-23.00378229988495,-46.260392569535746,Manhã,Crítica,Resolvida,Dicta exercitationem consequatur.,1
6a65b1d8-e837-4495-9538-9b30af032c35,2025-03-01 18:33:10,Pichação,Bairro Residencial A,-23.10715060381078,-46.686083593441694,Tarde,Baixa,Em Análise,Harum similique ipsa eius maxime.,0
c06b5c21-ca7f-48f0-8305-5ddc06b4023e,2025-04-28 07:45:39,Vandalismo,Bairro Residencial A,-23.941940656386127,-46.64653658541227,Manhã,Média,Reportada,Repudiandae ea corporis temporibus alias pariatur.,1
db4dd1f9-aaf8-4bb4-b304-056a01baba18,2024-11-09 13:53:18,Aglomeração Suspeita,Bairro Residencial B,-23.637428069421002,-46.79003158098551,Noite,Baixa,Resolvida,Officiis doloremque sit.,0
806347ad-34b0-4d64-9e1a-cf7abd1da013,2024-10-01 20:30:21,Pichação,Bairro Residencial A,-23.576967352352202,-46.21097734858683,Tarde,Crítica,Resolvida,Deserunt nostrum ut reiciendis.,0
92d3f340-8c1a-487a-9072-69e1ffe17037,2024-08-30 11:16:15,Barulho Excessivo,Parque Urbano,-23.462687555014153,-46.17498763308341,Manhã,Baixa,Em Análise,Rem officiis ratione aspernatur sapiente iusto.,1
1b3fe32b-2dbf-464d-bd50-02f6c8fdff91,2024-07-31 11:50:57,Aglomeração Suspeita,Bairro Residencial B,-23.595155044743812,-46.56290620582386,Tarde,Alta,Reportada,Tempore facere sapiente tempore.,0
456cbeaa-11b4-4fc6-a1f3-da57c455765e,2025-01-12 00:30:49,Aglomeração Suspeita,Parque Urbano,-23.170639227803186,-46.01775688642112,Tarde,Baixa,Cancelada,Optio vero similique quo voluptas quasi.,0
25685152-14bc-486d-967e-144475062fa4,2025-01-30 18:50:12,Outros,Praça Central,-23.582344454242232,-46.150800920459474,Noite,Crítica,Cancelada,Quasi recusandae atque magni minima accusamus qui.,0
e4b5c87d-6a38-4519-97d8-0544499db59f,2025-05-28 11:56:20,Lixo Acumulado,Bairro Residencial A,-23.090395831531342,-46.25327897902572,Madrugada,Média,Em Análise,Porro beatae repellendus nesciunt voluptatibus.,0
445947cc-6694-4add-a5f4-22ce420a350e,2024-11-18 06:16:55,Aglomeração Suspeita,Área Comercial,-23.08680409477312,-46.91244636377118,Tarde,Baixa,Em Análise,Quae adipisci aspernatur cupiditate suscipit nam adipisci.,0
61a805f7-62fb-429e-bf4d-568657ebe3d1,2024-11-28 19:03:20,Vandalismo,Praça Central,-23.572704454871367,-46.482693436638016,Noite,Crítica,Reportada,Corporis dicta itaque quo provident iste iusto corrupti.,1
10b35c30-2241-4763-b86b-1144fd301196,2024-06-21 02:26:35,Lixo Acumulado,Área Comercial,-23.126810219018555,-46.353167440055,Madrugada,Alta,Cancelada,Vitae similique fugit voluptatem.,0
771b5bb3-11f0-4a72-b9bc-fb49407af53e,2025-03-13 11:01:22,Pichação,Área Comercial,-23.379408914829177,-46.36361308374112,Madrugada,Alta,Resolvida,Laudantium sint veritatis iste.,0
447e2ada-2706-44e8-af18-41cd8dbea155,2025-04-01 11:37:47,Pichação,Bairro Residencial B,-23.862252788475537,-46.143189939946296,Madrugada,Baixa,Cancelada,Excepturi quisquam ullam beatae nostrum.,0
a0b15a5a-707f-41d8-be54-c0235b7d5d1f,2025-04-23 14:06:06,Aglomeração Suspeita,Área Comercial,-23.148975749626874,-46.91642075872392,Madrugada,Crítica,Cancelada,Aut harum nobis ex.,1
dcfc3f89-c20d-467f-8628-615d417d8a42,2025-05-19 06:02:47,Barulho Excessivo,Bairro Residencial B,-23.407365541821864,-46.11788544799376,Noite,Média,Reportada,Cupiditate modi nulla dolores sapiente perferendis ipsa.,0
b2f1edfc-3cdb-41f4-a7bc-b353cbcd29a8,2025-01-29 21:09:28,Barulho Excessivo,Parque Urbano,-23.74717668243606,-46.517059201654156,Noite,Crítica,Cancelada,Sit suscipit alias nostrum consequuntur illo.,1
61b2a48f-22b2-4656-b792-d7d592cf0053,2025-03-03 09:33:01,Barulho Excessivo,Bairro Residencial A,-23.163566843402137,-46.600419462590786,Tarde,Alta,Em Análise,Eveniet rerum voluptates animi tenetur.,1
a4ace186-c802-4c46-a03b-bdd27cbc2c54,2025-03-30 17:43:45,Outros,Bairro Residencial A,-23.97472541061922,-46.27785805351494,Tarde,Crítica,Cancelada,Omnis fugiat non eius.,0
92f58964-1ff0-4697-bf62-997e093e0bff,2024-08-25 05:44:39,Lixo Acumulado,Estação de Metrô,-23.633393401832226,-46.81423811226966,Tarde,Baixa,Em Análise,Iste consectetur ex nemo illum.,0
02893fbc-9a21-47d8-a382-ab6c9e0d5059,2025-03-22 17:12:23,Pichação,Bairro Residencial B,-23.76836022634129,-46.90204060833977,Manhã,Média,Reportada,Aspernatur vel ducimus mollitia vitae quidem dolor.,0
619b6fb8-5fdc-4084-8d23-ad1617fd67ba,2025-01-09 13:01:49,Pichação,Parque Urbano,-23.04731883944262,-46.82891236955838,Manhã,Alta,Resolvida,Doloribus veniam officia.,0
81b244ea-6e47-473f-a30e-98b133a8b9dd,2025-02-27 17:27:21,Vandalismo,Área Comercial,-23.49699262649453,-46.12119475708319,Manhã,Baixa,Reportada,Nesciunt vel doloremque velit error.,1
ee65801d-b990-4993-9155-a0cdffd88f83,2024-09-17 11:02:53,Pichação,Bairro Residencial B,-23.955898287712387,-46.021990529998575,Madrugada,Crítica,Resolvida,Dolore deserunt sapiente.,0
d865ed64-c58f-4d08-8f0a-86c3b2b41f3c,2025-03-31 16:05:34,Barulho Excessivo,Bairro Residencial A,-23.706167736084332,-46.562524769533816,Madrugada,Média,Reportada,Dolores amet quasi.,1
3c551402-3d10-4f82-9ba6-d043bc7a1d64,2025-06-12 02:19:24,Barulho Excessivo,Bairro Residencial A,-23.636900433883103,-46.948182182207155,Tarde,Crítica,Cancelada,Aspernatur eaque incidunt fuga temporibus fuga a.,0
0e07f690-ca81-41c0-aa13-70bfca328b8e,2024-08-25 14:52:06,Lixo Acumulado,Praça Central,-23.042653895307872,-46.393950112952304,Tarde,Crítica,Resolvida,Qui cumque ex autem.,0
fd32e950-ebc7-45ca-9707-f63b4de41cd3,2025-03-04 22:56:42,Aglomeração Suspeita,Estação de Metrô,-23.131736951865946,-46.5676956794636,Noite,Crítica,Reportada,Molestias non cum iure saepe.,1
453e9ae9-a180-4c92-95f6-68c1be7ba8ce,2024-11-08 18:42:25,Vandalismo,Praça Central,-23.830476252201372,-46.06013723860468,Madrugada,Baixa,Resolvida,Adipisci possimus vero accusantium.,0
5cc9dbc7-6cc1-46b7-9a05-eadee51b383b,2025-03-27 21:50:04,Aglomeração Suspeita,Praça Central,-23.18935801542469,-46.15030128564899,Madrugada,Alta,Resolvida,Nihil animi voluptatum atque et.,0
c1717b56-c23a-4af4-b0a4-99850402544d,2024-12-07 09:31:27,Aglomeração Suspeita,Área Comercial,-23.445882269971534,-46.92972883694613,Manhã,Crítica,Reportada,Quibusdam odit dolorum illo asperiores earum accusamus.,0
79485600-6b57-4a4f-b2d9-5d8ceb688b48,2024-11-18 17:48:26,Lixo Acumulado,Bairro Residencial B,-23.87048688525926,-46.607299079859246,Madrugada,Baixa,Reportada,Amet occaecati recusandae ratione nulla sapiente distinctio ut.,0
b44a8845-156e-41f1-9f6b-bf5e2c7fb89d,2024-12-22 09:55:14,Outros,Área Comercial,-23.50752987705146,-46.009510337077884,Tarde,Alta,Cancelada,Laboriosam praesentium consectetur possimus.,0
4593ea1b-ce4a-4fb2-8e90-03906660e1a9,2024-08-30 19:22:27,Lixo Acumulado,Praça Central,-23.066643734998788,-46.1423933547798,Manhã,Média,Reportada,Dolorem quam optio temporibus deserunt.,0
1ba99184-b1df-4319-9d78-d526d62207bd,2024-07-26 01:11:00,Barulho Excessivo,Estação de Metrô,-23.561285002831763,-46.2388878037663,Tarde,Alta,Em Análise,Nihil sint consectetur laudantium.,0
821c28c9-2cfd-4fc6-9937-2f2adabfa51e,2024-07-18 13:34:20,Barulho Excessivo,Área Comercial,-23.770944205577297,-46.316944005225544,Tarde,Alta,Em Análise,Praesentium ducimus quibusdam consequatur illo voluptas culpa.,0
024662bb-9a75-4d1c-84e6-7503f84b1d2e,2025-06-16 00:39:59,Aglomeração Suspeita,Bairro Residencial B,-23.477852604051467,-46.9215500927346,Noite,Média,Resolvida,Modi fuga necessitatibus voluptatum nostrum natus iste.,0
45f36344-ee53-4907-b9b6-f49b5a9bf74f,2024-12-23 02:59:25,Barulho Excessivo,Praça Central,-23.257470422412688,-46.494768646774766,Manhã,Crítica,Em Análise,Hic labore vero aut.,1
22ffe90b-1bdd-418b-bab9-c853dd4789b5,2024-09-10 10:52:27,Pichação,Praça Central,-23.17219612308425,-46.965482131147176,Manhã,Baixa,Resolvida,Nihil deleniti aperiam explicabo.,0
bfa1c415-da7a-426d-a911-22fc53788b8d,2024-10-02 14:13:37,Vandalismo,Bairro Residencial B,-23.070747211986788,-46.82394278092139,Madrugada,Baixa,Cancelada,Deserunt ab sit eos consectetur consequatur corrupti.,1
e7d25aff-43d1-4689-a042-429fbcf6c3f4,2024-11-07 10:36:39,Aglomeração Suspeita,Área Comercial,-23.521423944656586,-46.413261699234866,Tarde,Baixa,Cancelada,Enim necessitatibus aperiam error cumque quasi consequuntur illo.,0
6319b9be-9a38-443e-9787-a2cd87e561d9,2024-09-27 10:07:55,Vandalismo,Praça Central,-23.492100304761387,-46.701582420095086,Madrugada,Crítica,Resolvida,Similique ipsa iure mollitia cumque.,0
4da8a126-5b3d-40b2-8daf-d640d5be9d7f,2024-08-23 18:08:59,Aglomeração Suspeita,Estação de Metrô,-23.32575435781179,-46.86901987205421,Tarde,Baixa,Resolvida,Rerum in mollitia reprehenderit deserunt culpa quis numquam.,0
80156b49-531d-4763-a497-5552c9327ed2,2024-07-29 19:39:47,Aglomeração Suspeita,Bairro Residencial B,-23.19413679763526,-46.884418939633996,Tarde,Baixa,Em Análise,A incidunt velit neque molestias.,0
969c4acd-6b6b-4414-b034-1dd76d5c039b,2025-03-04 15:56:19,Outros,Bairro Residencial B,-23.26240058840598,-46.15333300832043,Tarde,Crítica,Em Análise,Neque ullam et eum libero tenetur dolor.,0
0812d508-9cda-4e47-be3c-fabe8692aeee,2025-03-19 02:01:40,Pichação,Praça Central,-23.4194867853431,-46.20793491306632,Madrugada,Baixa,Reportada,Quis asperiores nesciunt.,0
bf8af98d-61b2-486f-a707-084f70ae91cc,2025-02-14 17:01:23,Aglomeração Suspeita,Praça Central,-23.028807987971554,-46.173596039682316,Noite,Crítica,Reportada,Sequi quo eos eaque nesciunt.,0
c5b7d7e0-0465-46c7-9f4a-4289ce36dc74,2025-04-17 09:09:21,Aglomeração Suspeita,Bairro Residencial B,-23.39556353331569,-46.12555442083241,Manhã,Média,Resolvida,Tempora voluptatibus rerum inventore soluta.,0
bda308c6-7eba-4264-b821-40cf35a46f1d,2024-07-02 20:26:17,Vandalismo,Praça Central,-23.607260595626528,-46.74837963110023,Manhã,Média,Reportada,Error quos quis consequuntur.,1
d874264e-6a0e-4fe5-a92f-c56736d047bd,2025-04-08 08:51:52,Pichação,Área Comercial,-23.700737584038635,-46.331938665660815,Tarde,Média,Reportada,Ut ducimus explicabo magnam quasi pariatur.,0
bf40f19e-b361-4ce1-9647-b3c2b1a2f283,2024-10-17 14:35:52,Aglomeração Suspeita,Parque Urbano,-23.075826108270956,-46.89093011035174,Madrugada,Alta,Reportada,Molestiae vitae rem dolorem eligendi eligendi.,1
6d6a03ae-50bb-4d86-b259-b4d4da1f3b60,2024-09-06 14:53:11,Pichação,Área Comercial,-23.76850583857735,-46.24891808088419,Madrugada,Média,Resolvida,Non fuga libero dolore.,0
ea27b8ff-1685-4ca5-8a9e-5d2a59d17318,2024-11-13 05:05:41,Pichação,Praça Central,-23.3490460302853,-46.849007166621256,Noite,Alta,Em Análise,Reprehenderit beatae enim.,1
9413ccb0-268e-401b-909f-06026a733d12,2025-06-06 09:28:58,Lixo Acumulado,Parque Urbano,-23.317213505480517,-46.48061861883976,Noite,Alta,Resolvida,Exercitationem unde quaerat harum aspernatur impedit inventore.,1
c96245ba-af44-4f59-bf8f-2449e34cef9c,2025-02-03 06:57:10,Lixo Acumulado,Área Comercial,-23.962541040959717,-46.69019656455984,Manhã,Média,Em Análise,Blanditiis accusamus ab optio nemo nulla.,1
5f3bf93c-8b92-43c5-a326-e22dfc1fcfcd,2024-09-09 04:10:39,Vandalismo,Praça Central,-23.425401696033415,-46.48487088334331,Tarde,Média,Cancelada,Est repudiandae veniam sapiente illo saepe distinctio.,0
742fb216-7928-47da-a9da-503e1bd959db,2025-01-20 05:03:04,Outros,Bairro Residencial B,-23.21747510418464,-46.80236047236202,Manhã,Baixa,Resolvida,Maxime ratione sed quia veritatis eveniet.,1
f1cda9bf-a3fe-45f1-92a1-bac7f4c2ea68,2024-12-28 07:28:34,Lixo Acumulado,Bairro Residencial B,-23.510834434174573,-46.067585418822226,Manhã,Alta,Cancelada,Magni doloremque nobis non tenetur sit.,0
8ccacf86-4e62-4065-9a1d-41408e2b8704,2025-04-14 15:36:37,Aglomeração Suspeita,Bairro Residencial B,-23.494610841314046,-46.928745721658395,Noite,Baixa,Resolvida,Eveniet autem necessitatibus.,1
def98ec5-9fce-4c1d-ba54-bfd3881808f0,2024-11-14 06:55:50,Outros,Estação de Metrô,-23.268914196169465,-46.01236836564116,Tarde,Crítica,Resolvida,Reprehenderit possimus sed.,0
88ccfaee-aec3-4612-a678-05f7a626e659,2025-03-11 08:05:49,Outros,Área Comercial,-23.1016872020503,-46.836366894144135,Madrugada,Alta,Reportada,Aperiam numquam perspiciatis aliquid.,0
7bbb7b94-40de-482a-a974-d2e3eb89d3dc,2024-09-13 06:19:05,Barulho Excessivo,Bairro Residencial B,-23.90989271497812,-46.25634018338056,Noite,Baixa,Cancelada,Molestias omnis harum praesentium.,0
8a3a8d5b-dc27-40a3-85b0-ebf57cae4593,2025-02-16 18:17:44,Outros,Parque Urbano,-23.16919998413042,-46.870601205723915,Manhã,Alta,Resolvida,Tempora eveniet porro fuga quibusdam incidunt iusto beatae.,0
100bbd6d-7647-4c0b-8f97-46866ad48eab,2024-10-06 07:43:02,Barulho Excessivo,Praça Central,-23.755220209860518,-46.850071868842456,Manhã,Crítica,Resolvida,Iure quo dolorem veritatis dicta.,0
df77466d-4c79-4fab-a837-c02267173499,2025-05-12 06:52:29,Pichação,Parque Urbano,-23.48273758768358,-46.82357085582531,Madrugada,Alta,Resolvida,Veritatis minus nemo delectus voluptatem recusandae quibusdam.,0
c6d1a888-18c1-4e47-9dc8-84ce2e35a783,2024-07-27 21:30:11,Vandalismo,Estação de Metrô,-23.865545808660517,-46.20936830320897,Manhã,Alta,Cancelada,Repellendus ab explicabo veritatis laudantium natus unde reprehenderit.,1
1469c2fd-44ff-44a2-9bc5-49f84a6ecad2,2025-03-11 22:26:36,Outros,Estação de Metrô,-23.584081100736615,-46.5271881001916,Manhã,Crítica,Em Análise,In nisi sint ex quae.,0
cf617f11-4854-46d4-a7bf-c5f877e7c4f2,2025-02-02 22:17:35,Barulho Excessivo,Praça Central,-23.941801204833656,-46.01928314763356,Tarde,Alta,Em Análise,Sunt repellendus explicabo beatae necessitatibus.,1
f72314e2-dcc1-4495-b508-a2cf6592f25c,2025-05-30 13:45:18,Aglomeração Suspeita,Praça Central,-23.954966984376625,-46.97793600293822,Madrugada,Alta,Reportada,Corrupti quis maiores tenetur labore.,0
12409576-941b-4b90-bf2f-37aad1b34ea1,2024-07-14 05:45:45,Lixo Acumulado,Estação de Metrô,-23.26350481202889,-46.44219332939347,Manhã,Alta,Reportada,Quo aliquid molestias harum eum similique necessitatibus.,1
9b166fc0-6d3a-4c84-9cf8-dc94bffc7c15,2024-10-07 22:34:45,Vandalismo,Área Comercial,-23.44660835741604,-46.50178204574782,Noite,Baixa,Em Análise,Voluptatum voluptas vel magni ea.,0
671327f3-aa69-4684-b119-e79421ccfc1c,2024-08-08 09:35:08,Outros,Praça Central,-23.460332659027397,-46.40725467610085,Madrugada,Alta,Reportada,In modi doloribus eius odio dignissimos.,0
e6cd226d-402d-462b-961e-d24f9f969898,2025-03-16 04:38:43,Barulho Excessivo,Praça Central,-23.55379284999332,-46.74201674546809,Noite,Alta,Resolvida,Maiores repellendus dolorem hic.,0
1c1aea41-ef4d-4e07-bcd8-af10e6165c93,2025-03-17 04:17:06,Pichação,Bairro Residencial A,-23.761008239170934,-46.69272307497398,Tarde,Baixa,Resolvida,Odit explicabo sed optio explicabo.,0
73479f91-305d-4c38-a6f8-a01d293d4d30,2025-02-19 23:18:25,Vandalismo,Bairro Residencial A,-23.89256702880432,-46.34434331346439,Manhã,Baixa,Em Análise,Quia optio doloremque possimus aperiam aliquid pariatur.,0
9db64422-570c-46a9-8e1e-3667a5fdf130,2024-10-26 20:26:51,Pichação,Parque Urbano,-23.99925489356483,-46.48693041628771,Tarde,Crítica,Reportada,Mollitia debitis distinctio vero error eum sit.,0
76d27a17-49a1-4bdb-8307-2fa00701c24b,2024-09-07 04:38:27,Pichação,Parque Urbano,-23.42904273367315,-46.8549674017922,Noite,Crítica,Resolvida,Voluptate cupiditate numquam.,0
484677db-31a3-4b66-8bcf-688eb2615f39,2024-08-15 00:40:47,Vandalismo,Área Comercial,-23.771000756296917,-46.73373703145375,Manhã,Alta,Reportada,Optio sint quibusdam.,0
1723ebec-2a77-40df-8d73-a5f628e26202,2024-10-08 11:59:53,Pichação,Bairro Residencial B,-23.259628655927557,-46.43891356962967,Manhã,Média,Resolvida,Ut rem accusantium.,1
ac1665c0-c0fb-43aa-a280-9276d9f36f31,2024-11-15 04:43:19,Aglomeração Suspeita,Praça Central,-23.28869866749852,-46.192406035789396,Manhã,Alta,Em Análise,Occaecati esse molestiae sit molestias facere optio eum.,0
bf231003-7783-4dc4-bda9-83c5b912e58b,2025-05-17 23:41:27,Vandalismo,Estação de Metrô,-23.1695994835997,-46.59899454301152,Manhã,Alta,Reportada,Ratione aspernatur maxime non ipsa.,0
bb5c63b1-26e1-494e-8482-10d94c8367b3,2025-04-27 13:29:04,Barulho Excessivo,Área Comercial,-23.638157553392432,-46.34579327714197,Noite,Baixa,Resolvida,Earum tempora deserunt doloremque.,0
9b5f81d4-e9f8-499f-b858-6203d2331176,2024-11-03 14:42:31,Barulho Excessivo,Área Comercial,-23.944854768646856,-46.295999092717004,Noite,Alta,Reportada,Maiores exercitationem aliquid ipsum ipsam non esse temporibus.,0
e6a72736-b5b3-41a2-a8c1-daad75eb4396,2025-04-24 00:17:09,Pichação,Bairro Residencial A,-23.03828882418257,-46.5391359721705,Noite,Baixa,Em Análise,Recusandae suscipit magni maiores.,0
bc0f9ead-2167-4b3e-9716-f5210efd157f,2024-07-12 15:05:00,Lixo Acumulado,Parque Urbano,-23.445461273844245,-46.06816757272766,Madrugada,Crítica,Reportada,Illum nesciunt optio corrupti tempore reprehenderit impedit.,0
b90d34c9-dc23-4b64-84f6-7c2a5bc962b5,2025-05-13 12:09:35,Outros,Parque Urbano,-23.2718820295785,-46.53770334609354,Madrugada,Alta,Cancelada,Quibusdam illo similique reiciendis.,0
b6039092-dcb5-4333-a104-dddbfd3c5a35,2025-03-23 18:01:47,Barulho Excessivo,Parque Urbano,-23.05064653898222,-46.93362427189977,Madrugada,Baixa,Cancelada,Eius deserunt nihil distinctio ut.,0
335e152a-5a73-4235-90b3-b3cf67f92628,2025-02-04 00:41:33,Lixo Acumulado,Estação de Metrô,-23.65003017735467,-46.55841040519475,Madrugada,Crítica,Resolvida,Doloribus vitae dicta est rem magni eius.,1
715554ab-8ecf-45b5-bd71-b54238ce9ae6,2024-08-03 17:52:52,Pichação,Bairro Residencial B,-23.90647023204623,-46.53445265992084,Manhã,Média,Reportada,Architecto eos sint aut ipsa.,0
a0d279ad-41e6-4c90-bb87-3115d73416b5,2025-04-27 17:03:35,Vandalismo,Estação de Metrô,-23.133929229408565,-46.15863448204767,Manhã,Alta,Resolvida,Eum cum consequatur optio.,0
67c666fb-2c31-4f99-9425-e181bedd6383,2024-08-18 07:29:57,Lixo Acumulado,Bairro Residencial B,-23.027710488765226,-46.121041504199944,Tarde,Baixa,Resolvida,Natus id ipsa eius optio eius ipsum.,1
bb780b03-f3b1-4b37-bc63-ddc02cba7eb8,2025-01-18 21:46:04,Lixo Acumulado,Parque Urbano,-23.137147822164994,-46.757852356742056,Noite,Crítica,Em Análise,Nesciunt suscipit excepturi quae.,1
5983068f-91d3-42df-a700-7deb9f9ba142,2024-08-27 14:48:36,Barulho Excessivo,Praça Central,-23.92933632197989,-46.303266494535265,Noite,Média,Reportada,Assumenda dolores eligendi quas vitae aperiam inventore.,1
